,Medical,Law,Finance,Code,Math,ChineseWiki,EnglishWiki,Reasoning,LongContext,Instruction
Medical,0.0,15.101640906184912,19.067113127559423,20.145613875240088,18.39893266186118,23.80642243847251,23.05596086010337,27.370660033077,28.862698759883642,29.775483336299658
Law,0.0,0.0,7.664789199829102,13.123794555664062,14.238094329833984,16.77588653564453,16.88414764404297,17.02399444580078,17.140926361083984,17.36160659790039
Finance,0.0,0.0,0.0,10.220762252807617,15.286531448364258,14.400869369506836,14.235898971557617,14.925634384155273,14.077085494995117,13.207117080688477
Code,0.0,0.0,0.0,0.0,10.771514892578125,12.23520278930664,13.717350006103516,14.07259750366211,13.493267059326172,12.94247055053711
Math,0.0,0.0,0.0,0.0,0.0,7.8191680908203125,10.53662109375,12.907939910888672,14.033622741699219,13.417461395263672
ChineseWiki,0.0,0.0,0.0,0.0,0.0,0.0,10.942081451416016,12.37887191772461,12.828105926513672,13.561241149902344
EnglishWiki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.239740371704102,8.62190055847168,9.206266403198242
Reasoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.738945007324219,6.805397033691406
LongContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.875432968139648
Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
