AI_Snapshot_Stage,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10,Domain_11,Domain_12,Domain_13,Domain_14,Domain_15,Domain_16,Domain_17,Domain_18,Domain_19,Domain_20,Domain_21,Domain_22,Domain_23,Domain_24,Domain_25,Domain_26,Domain_27,Domain_28,Domain_29,Domain_30,Domain_31,Domain_32,Domain_33,Domain_34,Domain_35,Domain_36,Domain_37,Domain_38,Domain_39,Domain_40,Domain_41,Domain_42,Domain_43,Domain_44,Domain_45,Domain_46,Domain_47,Domain_48,Domain_49,Domain_50
Snapshot_5,58.170475006103516,101.22496795654297,112.31036376953125,113.73796844482422,116.27318572998047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot_10,51.62385559082031,93.34494018554688,109.1624984741211,108.3608627319336,112.84330749511719,116.44901275634766,119.72945404052734,110.0114517211914,106.60210418701172,118.06035614013672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot_15,41.75815200805664,80.07222747802734,106.80652618408203,101.41764068603516,102.99506378173828,111.99658203125,117.23584747314453,100.43849182128906,98.52552032470703,114.98274230957031,111.09597778320312,108.63322448730469,100.78524780273438,100.10880279541016,102.3364486694336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot_20,35.30326461791992,67.50303649902344,103.63484954833984,97.51299285888672,93.24715423583984,108.34136962890625,113.30750274658203,93.55502319335938,92.78836822509766,112.10026550292969,105.38009643554688,101.36398315429688,93.55366516113281,91.97809600830078,90.60650634765625,91.27452087402344,92.8996810913086,99.0691146850586,107.31478118896484,107.31092071533203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot_25,30.8738956451416,57.4018440246582,92.51318359375,91.04670715332031,82.98045349121094,104.59988403320312,109.12628936767578,85.30387115478516,81.75875091552734,108.18234252929688,95.48097229003906,90.53533935546875,88.50302124023438,82.98863983154297,78.68844604492188,77.72394561767578,81.16946411132812,90.98178100585938,100.97408294677734,101.79828643798828,95.5763168334961,98.62071990966797,93.81739044189453,83.57747650146484,107.13970184326172,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot_30,27.437223434448242,46.71143341064453,85.36360168457031,81.48184967041016,73.57707214355469,95.53984832763672,100.0776596069336,83.30218505859375,73.91944122314453,100.79561614990234,86.08538055419922,80.81767272949219,74.21125030517578,71.23484802246094,69.63776397705078,71.95543670654297,70.6357650756836,78.93247985839844,88.91474914550781,94.99256896972656,83.28448486328125,91.03690338134766,86.30982971191406,75.5054702758789,105.70738983154297,66.22404479980469,87.46941375732422,83.7520523071289,85.45747375488281,59.86323165893555,,,,,,,,,,,,,,,,,,,,
Snapshot_35,25.980806350708008,41.199649810791016,72.88371276855469,66.1871109008789,64.4719467163086,80.92082214355469,92.22709655761719,73.17044830322266,57.35111999511719,90.03388977050781,71.45529174804688,68.3180160522461,64.26408386230469,61.40171432495117,57.76448059082031,60.270545959472656,54.71887969970703,66.71701049804688,79.81452941894531,86.9124526977539,73.63585662841797,80.18777465820312,72.22291564941406,67.49703216552734,99.22319793701172,53.47431564331055,70.35691833496094,80.4159927368164,71.81059265136719,48.53355026245117,88.20189666748047,58.341957092285156,75.80420684814453,81.1921157836914,74.54491424560547,,,,,,,,,,,,,,,
Snapshot_40,23.74692726135254,37.47553253173828,69.60508728027344,60.50321578979492,48.31665802001953,68.4976577758789,82.45964813232422,61.60243606567383,46.30664825439453,81.87250518798828,56.21643829345703,60.701290130615234,53.259490966796875,55.92871856689453,49.83939743041992,49.2924690246582,50.59202575683594,59.07948303222656,65.93924713134766,75.60462951660156,60.38675308227539,65.12019348144531,62.12844467163086,56.88862609863281,91.14139556884766,45.58016586303711,61.69826126098633,75.88097381591797,58.33623123168945,42.42411804199219,80.97570037841797,49.47745895385742,68.18863677978516,70.92179107666016,67.89012145996094,76.21003723144531,51.22314453125,59.65461730957031,68.48693084716797,60.83473205566406,,,,,,,,,,
Snapshot_45,22.807018280029297,35.93678283691406,64.89492797851562,53.14376449584961,40.865352630615234,61.87089157104492,68.90283966064453,54.74616622924805,43.62032699584961,74.08487701416016,46.51091003417969,56.56406784057617,45.71903610229492,52.883514404296875,44.71622085571289,41.91049575805664,43.80580520629883,50.479225158691406,59.5549201965332,70.38346862792969,52.343753814697266,50.9750862121582,47.42973327636719,49.73143768310547,81.89588928222656,41.58396911621094,57.07566833496094,72.02953338623047,51.92881393432617,40.622314453125,77.48632049560547,42.88920974731445,60.64740753173828,67.78825378417969,60.11536407470703,63.880271911621094,43.690513610839844,52.724849700927734,62.54206848144531,52.69236755371094,64.49580383300781,60.579349517822266,55.173858642578125,59.610836029052734,58.23680877685547,,,,,
Snapshot_50,21.324281692504883,34.00583267211914,53.10544204711914,42.90597915649414,38.25395202636719,54.08318328857422,63.289207458496094,49.995887756347656,39.89335250854492,67.22235870361328,41.90586471557617,48.66269302368164,41.30155944824219,49.44694519042969,39.7718505859375,39.60073471069336,39.22952651977539,47.9619026184082,52.21119689941406,60.47383117675781,45.075340270996094,43.718170166015625,39.76955032348633,40.55409240722656,73.498779296875,39.748600006103516,50.55527114868164,60.048057556152344,49.51008224487305,38.79319763183594,68.45030975341797,40.196937561035156,56.088504791259766,62.34687805175781,54.77245330810547,52.533321380615234,41.22183609008789,46.292335510253906,57.01946258544922,51.661705017089844,62.5426139831543,54.311100006103516,48.360145568847656,52.09702682495117,46.580589294433594,41.164100646972656,43.813419342041016,45.373104095458984,54.00498962402344,52.13505554199219
