AI_Snapshot_Stage,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10,Domain_11,Domain_12,Domain_13,Domain_14,Domain_15,Domain_16,Domain_17,Domain_18,Domain_19,Domain_20,Domain_21,Domain_22,Domain_23,Domain_24,Domain_25,Domain_26,Domain_27,Domain_28,Domain_29,Domain_30,Domain_31,Domain_32,Domain_33,Domain_34,Domain_35,Domain_36,Domain_37,Domain_38,Domain_39,Domain_40,Domain_41,Domain_42,Domain_43,Domain_44,Domain_45,Domain_46,Domain_47,Domain_48,Domain_49,Domain_50
Snapshot_5,97.45123291015625,120.83663177490234,122.7551040649414,123.27725982666016,123.82725524902344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot_10,97.44132232666016,120.82481384277344,122.71984100341797,123.266845703125,123.83355712890625,120.86550903320312,123.20025634765625,120.89929962158203,123.55414581298828,122.92308044433594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot_15,97.40726470947266,120.80184936523438,122.68231964111328,123.26060485839844,123.81593322753906,120.85963439941406,123.1697006225586,120.88267517089844,123.53485107421875,122.91143035888672,120.74781799316406,122.88259887695312,123.25881958007812,124.63125610351562,122.19032287597656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot_20,97.3841781616211,120.78640747070312,122.67033386230469,123.24124145507812,123.78994750976562,120.83729553222656,123.15351867675781,120.89799499511719,123.51473236083984,122.89696502685547,120.7373275756836,122.87122344970703,123.26097106933594,124.616455078125,122.19100189208984,122.3133316040039,122.78215789794922,124.17692565917969,122.3485336303711,125.33904266357422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot_25,97.35686492919922,120.77294158935547,122.62886810302734,123.21568298339844,123.75569915771484,120.82478332519531,123.13983917236328,120.89903259277344,123.51236724853516,122.87189483642578,120.74788665771484,122.88123321533203,123.2585220336914,124.59835052490234,122.16893768310547,122.29553985595703,122.76275634765625,124.17269134521484,122.33353424072266,125.30718231201172,122.81637573242188,123.82015228271484,120.38973999023438,121.79890441894531,120.96070861816406,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot_30,97.34799194335938,120.74696350097656,122.60916900634766,123.20581817626953,123.74907684326172,120.81092071533203,123.12377166748047,120.87857818603516,123.52064514160156,122.84854888916016,120.73146057128906,122.86207580566406,123.23190307617188,124.58340454101562,122.13536834716797,122.30315399169922,122.7392578125,124.1611099243164,122.30956268310547,125.29509735107422,122.79821014404297,123.81553649902344,120.38525390625,121.77780151367188,120.96456909179688,122.4888687133789,121.75418090820312,123.35582733154297,121.17788696289062,122.9683609008789,,,,,,,,,,,,,,,,,,,,
Snapshot_35,97.30603790283203,120.71089935302734,122.57172393798828,123.19633483886719,123.73884582519531,120.7901840209961,123.1038589477539,120.8527603149414,123.5020980834961,122.80506896972656,120.71601104736328,122.8438491821289,123.21710968017578,124.55762481689453,122.11255645751953,122.2820053100586,122.73033142089844,124.11477661132812,122.318359375,125.27359008789062,122.77210998535156,123.78211975097656,120.33984375,121.77713775634766,120.94198608398438,122.46538543701172,121.72171783447266,123.32502746582031,121.17212677001953,122.96240234375,121.8125,121.35972595214844,120.39384460449219,121.50981140136719,124.5826187133789,,,,,,,,,,,,,,,
Snapshot_40,97.24347686767578,120.70336151123047,122.54934692382812,123.17630767822266,123.74951934814453,120.77194213867188,123.07390594482422,120.84358978271484,123.48819732666016,122.78750610351562,120.70409393310547,122.79243469238281,123.20372009277344,124.53754425048828,122.0837631225586,122.25106048583984,122.69911193847656,124.09101104736328,122.30754089355469,125.25625610351562,122.77511596679688,123.74195861816406,120.3421859741211,121.77171325683594,120.9212417602539,122.43111419677734,121.69872283935547,123.29521179199219,121.16339111328125,122.94715881347656,121.79386901855469,121.3572006225586,120.37493133544922,121.4773941040039,124.56310272216797,121.41104125976562,121.84029388427734,122.39163208007812,122.90670776367188,124.80990600585938,,,,,,,,,,
Snapshot_45,97.23460388183594,120.67771911621094,122.54004669189453,123.1554183959961,123.75492095947266,120.7460708618164,123.06259155273438,120.83577728271484,123.47850036621094,122.78077697753906,120.6942367553711,122.781005859375,123.18632507324219,124.49868774414062,122.0543441772461,122.23916625976562,122.683349609375,124.06785583496094,122.2829360961914,125.23371887207031,122.77489471435547,123.72563171386719,120.33660888671875,121.74836730957031,120.90801239013672,122.38699340820312,121.66474914550781,123.28948211669922,121.13770294189453,122.91422271728516,121.754150390625,121.35094451904297,120.34823608398438,121.4655990600586,124.53379821777344,121.39556121826172,121.82575225830078,122.37960052490234,122.89464569091797,124.79779052734375,124.08790588378906,124.23517608642578,125.05644226074219,121.7132339477539,121.53352355957031,,,,,
Snapshot_50,97.20365905761719,120.65374755859375,122.54058074951172,123.14100646972656,123.75379943847656,120.72174835205078,123.05899047851562,120.80744934082031,123.46835327148438,122.74529266357422,120.67322540283203,122.75489044189453,123.15723419189453,124.46814727783203,122.01274108886719,122.21827697753906,122.66402435302734,124.052490234375,122.24972534179688,125.24144744873047,122.75126647949219,123.68677520751953,120.32209777832031,121.72357940673828,120.90401458740234,122.3804702758789,121.63275909423828,123.26586151123047,121.12972259521484,122.88260650634766,121.72390747070312,121.3425064086914,120.33222198486328,121.46662902832031,124.51438903808594,121.36754608154297,121.80010986328125,122.33794403076172,122.86888885498047,124.80072784423828,124.06171417236328,124.23109436035156,125.06294250488281,121.71916961669922,121.53763580322266,124.84520721435547,121.35203552246094,122.75666809082031,123.36194610595703,122.32432556152344
